Key,en,es,ar,fr
confirm Password,Confirm Password,"Télécharger le passeport / NID / permis de conduire, etc. pour vérification",قم بتحميل جواز السفر / الهوية الوطنية / رخصة القيادة وما إلى ذلك للتحقق,"Téléchargez le passeport / la carte d'identité nationale / le permis de conduire, etc. pour vérification"
enter Confirm Password,Enter Confirm Password,Confirmez le mot de passe,تأكيد كلمة المرور,Confirmez le mot de passe
by Using,By using QRPAY’s you agree to our,Entrez le mot de passe de confirmation,أدخل كلمة المرور للتأكيد,Entrez à nouveau le mot de passe pour confirmation
user Agreement,User Agreement.,"En utilisant QRPAY, vous acceptez notre Contrat d'utilisateur.",باستخدام QRPAY ، فإنك توافق على اتفاقية المستخدم لدينا.,"En utilisant QRPAY, vous acceptez notre Contrat d'utilisateur."
or,or,ou,أو,ou
reset Password Details,Reset your password to get back access to your dashboard again.,Restablece tu contraseña para volver a acceder a tu panel de control.,أعد تعيين كلمة المرور الخاصة بك للوصول مرة أخرى إلى لوحة التحكم الخاصة بك.,Réinitialisez votre mot de passe pour retrouver l'accès à votre tableau de bord.
fingerprint,Fingerprint,Huella dactilar,بصمة الإصبع,Empreinte digitale
fingerprint Authentication,Fingerprint Authentication,Autenticación de huella dactilar,المصادقة بواسطة بصمة الإصبع,Authentification par empreinte digitale
use Finger Print System,Use fingerprint to get more secure system,Usa la huella dactilar para obtener un sistema más seguro,استخدم بصمة الإصبع للحصول على نظام أكثر أمانًا,Utilisez l'empreinte digitale pour un système plus sécurisé
complete,Complete,Completado,تم,Terminé
forty percent,40%,40%,40%,40%
confirm,Confirm,Confirmar,تأكيد,Confirmer
skip Now,Skip Now,Omitir ahora,تخطي الآن,Ignorer maintenant
facelock,Facelock,Bloqueo facial,قفل الوجه,Verrouillage facial
facelock Authentication,Facelock Authentication,Autenticación de bloqueo facial,المصادقة بواسطة قفل الوجه,Authentification par verrouillage facial
use Facelock System,Use facelock to get more secure system,Usa el bloqueo facial para obtener un sistema más seguro,استخدم قفل الوجه للحصول على نظام أكثر أمانًا,Utilisez le verrouillage facial pour un système plus sécurisé
capture,Capture,Capturar,التقاط,Capture
wait Approval,Wait for Approval,Espera la aprobación,انتظر الموافقة,Attendez l'approbation
wait For Your Submitted,Wait for your submitted document to be approved by admin panel,Espera a que tu documento enviado sea aprobado por el panel de administración,انتظر حتى يتم الموافقة على الوثيقة التي قدمتها من قبل لوحة الإدارة,Attendez que votre document soumis soit approuvé par le panneau d'administration
okay,Okay,De acuerdo,حسنًا,D'accord
go To Dashboard,Go To Dashboard,Ir al panel de control,انتقل إلى لوحة التحكم,Accéder au tableau de bord
reload,Reload,Recargar,إعادة تحميل,Recharger
exit,Exit,Salir,خروج,Quitter
welcome Backto,Welcome Back to,Bienvenido de nuevo a,مرحبًا مرة أخرى في,Bienvenue de retour à
sign In With,Sign In with,Iniciar sesión con,تسجيل الدخول باستخدام,Se connecter avec
new To App,New to QRPAY?,¿Eres nuevo en QRPAY?,هل أنت جديد في QRPAY؟,Nouveau sur QRPAY ?
enter Your Phone Number,Enter your Phone Number to Reset your account,Ingresa tu número de teléfono para restablecer tu cuenta,أدخل رقم هاتفك لإعادة تعيين حسابك,Entrez votre numéro de téléphone pour réinitialiser votre compte
enter Phone,Enter Phone,Ingresar teléfono,أدخل الهاتف,Entrer le numéro de téléphone
reset Password,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialiser le mot de passe
new Password,New Password,Nueva contraseña,كلمة مرور جديدة,Nouveau mot de passe
enter New Password,Enter New Password,Ingresa la nueva contraseña,أدخل كلمة المرور الجديدة,Entrez le nouveau mot de passe
congratulations,Congratulations,Felicidades,تهانينا,Félicitations
your Password Has Been,"Your password has been reset Successfully, Sign in again now.","Tu contraseña se ha restablecido con éxito, inicia sesión de nuevo ahora.",تمت إعادة تعيين كلمة المرور بنجاح، قم بتسجيل الدخول مرة أخرى الآن.,Votre mot de passe a été réinitialisé avec succès. Connectez-vous à nouveau maintenant.
send Money Succesfully,Your money has been send successfully. Thanks for using QRPAY,Tu dinero se ha enviado con éxito. Gracias por usar QRPAY.,تم إرسال الأموال بنجاح. شكرًا لاستخدام QRPAY.,Votre argent a été envoyé avec succès. Merci d'utiliser QRPAY.
add Money Successfully,Your money has been add successfully. Thanks for using QRPAY,Tu dinero se ha añadido con éxito. Gracias por usar QRPAY.,تمت إضافة الأموال بنجاح. شكرًا لاستخدام QRPAY.,Votre argent a été ajouté avec succès. Merci d'utiliser QRPAY.
opps,Opss!!,¡Vaya!,آسف!!,Oups !!
value,Value,Valor,القيمة,Valeur
something Went Wrong,"Something went wrong, Try again letter.","Algo salió mal, inténtalo de nuevo.",حدث خطأ، حاول مرة أخرى.,Quelque chose s'est mal passé. Réessayez ultérieurement.
total Receive,Total Receive,Total recibido,المجموع المستلم,Total reçu
total Send,Total Send Remittance,Total de envío de remesas,إجمالي الإرسال للتحويل النقدي,Total envoyé en remise
send,Send,Enviar,إرسال,Envoyer
active,Active,Activo,نشط,Actif
receive,Receive,Recibir,استلام,Recevoir
recent Transactions,Recent Transactions,Transacciones recientes,المعاملات الأخيرة,Transactions récentes
money Send,Money Send,Envío de dinero,إرسال الأموال,Envoi d'argent
first Oct,01-Oct-22,1-Oct-22,1-Oct-22,1-Oct-22
tn2023,#TN-20236598,#TN-20236598,#TN-20236598,#TN-20236598
Sep29,29-Sep-22,29-Sep-22,29-Sep-22,29-Sep-22
t N20236,#TN-20236598,#TN-20236598,#TN-20236598,#TN-20236598
scan QR,SCAN QR,SCAN QR,مسح الرمز الاستجابي,SCAN QR (Scanner le QR code)
mobile Top Up,Mobile Top Up,Recharge mobile,شحن الهاتف المحمول,Recharge de mobile
deposit,Deposit,Dépôt,إيداع,Dépôt
withdraw,Withdraw,Retrait,سحب,Retrait
no Bank Found,No bank found,Aucune banque trouvée,لا توجد بنوك متاحة,Aucune banque trouvée
buy Giftcard,Buy Giftcard,Acheter une carte-cadeau,شراء بطاقة هدية,Acheter une carte-cadeau
my Giftcard,My Giftcard,Ma carte-cadeau,بطاقتي الهدايا,Mes cartes-cadeaux
for Indivisual,For Indivisuals,Pour les particuliers,للأفراد,Pour les particuliers
use Allpay Scan,Use Allpay Scan to pay me,Utilisez Allpay Scan pour me payer,استخدم Allpay Scan لدفع المبلغ لي,Utiliser Allpay Scan pour me payer
specifyan Amount,Specify An Amount,Spécifier un montant,تحديد المبلغ,Spécifier un montant
save Image,Save Image,Enregistrer l'image,حفظ الصورة,Sauvegarder l'image
transaction History,Transaction History,Historique des transactions,سجل المعاملات,Historique des transactions
money Transfer,Money Transfer,Transfert d'argent,تحويل الأموال,Transfert d'argent
qr Address,QR Address,Adresse QR,عنوان الرمز الاستجابي,Adresse QR
qr Code,7QRpdfhgb351gaj,7QRpdfhgb351gaj,7QRpdfhgb351gaj,7QRpdfhgb351gaj
q C0135689,QC0135689,QC0135689,QC0135689,QC0135689
recipient,Recipient,Bénéficiaire,المستلم,Bénéficiaire
archit Barhum,Archit Barhum,Archit Barhum,أرشيت بارهم,Archit Barhum
zero00,0,0,0,0
paste,Paste,Pegar,لصق,Coller
limit,Limit,Límite,الحد,Limite
limit Amount,10.00 USD - 10000.00 USD,10.00 USD - 10000.00 USD,10.00 دولار أمريكي - 10000.00 دولار أمريكي,10.00 USD - 10000.00 USD
t RX2136987,TRX2136987,TRX2136987,TRX2136987,TRX2136987
transaction No,Transaction No,Número de transacción,رقم المعاملة,Numéro de transaction
no Transaction,No Transaction Available Yet,No hay transacciones disponibles todavía,لا تتوفر معاملات بعد,Aucune transaction disponible pour le moment
recipient Information,Recipient Information,Información del destinatario,معلومات المستلم,Informations du destinataire
giftcard Information,Giftcard Information,Información de la tarjeta de regalo,معلومات بطاقة الهدية,Informations sur la carte cadeau
name,Name,Nombre,الاسم,Nom
amount Information,Amount Information,Información del monto,معلومات المبلغ,Informations sur le montant
you Transfer,You Transfer,Usted transfiere,أنت قمت بالتحويل,Vous transférez
your Money Has Been Save,Your money has been send Successfully. Thanks for using QRPAY,Su dinero se ha enviado con éxito. Gracias por usar QRPAY,تم إرسال أموالك بنجاح. شكرًا لاستخدامك QRPAY,Votre argent a été envoyé avec succès. Merci d'utiliser QRPAY
sayok,Sayok M.,Sayok M.,سايوك م.,Sayok M.
sayok Gmail,sayok@gmail.com,sayok@gmail.com,sayok@gmail.com,sayok@gmail.com
q RAddress,QR Address,Dirección QR,عنوان QR,Adresse QR
transfer Success,Transfer Success,Éxito de la transferencia,نجاح النقل,Transfert réussi
yourmoney Sen Success,Your money has been send Successfully. Thanks for using QRPAY,Su dinero se ha enviado con éxito. Gracias por usar QRPAY,تم إرسال أموالك بنجاح. شكرًا لاستخدامك QRPAY,Votre argent a été envoyé avec succès. Merci d'utiliser QRPAY
yourmoney Withdraw Success,Your money has been withdraw Successfully. Thanks for using QRPAY,Su dinero se ha retirado con éxito. Gracias por usar QRPAY,تم سحب أموالك بنجاح. شكرًا لاستخدامك QRPAY,Votre argent a été retiré avec succès. Merci d'utiliser QRPAY
yourmoney Deposit Success,Your money has been Deposit Successfully. Thanks for using QRPAY,Su dinero se ha depositado con éxito. Gracias por usar QRPAY,تم إيداع أموالك بنجاح. شكرًا لاستخدامك QRPAY,Votre argent a été déposé avec succès. Merci d'utiliser QRPAY
your Bill Pay Success,Your bill has been paid Successfully. Thanks for using QRPAY,Su factura se ha pagado con éxito. Gracias por usar QRPAY,تم دفع فاتورتك بنجاح. شكرًا لاستخدامك QRPAY,Votre facture a été payée avec succès. Merci d'utiliser QRPAY
your Top Up Success,Your topup has been done Successfully. Thanks for using QRPAY,Su recarga se ha realizado con éxito. Gracias por usar QRPAY,تمت إعادة شحن رصيدك بنجاح. شكرًا لاستخدامك QRPAY,Votre recharge a été effectuée avec succès. Merci d'utiliser QRPAY
backto Home,Back to Home,Volver a la página principal,العودة إلى الصفحة الرئيسية,Retour à la page d'accueil
transfer Failed,Transfer Failed,Fallo en la transferencia,فشلت النقل,Échec du transfert
your Moneyhas Beeen Failed,Your money has been Failed..!! Try Again! Thanks for using QRPAY,¡Su dinero no se ha transferido con éxito! ¡Inténtelo de nuevo! Gracias por usar QRPAY,أموالك فشلت..!! حاول مرة أخرى! شكرًا لاستخدامك QRPAY,Votre argent n'a pas été transféré avec succès ! Réessayez ! Merci d'utiliser QRPAY
try Again,Try Again,Intentar de nuevo,حاول مرة أخرى,Réessayer
add Plus,Add +,Agregar +,إضافة +,Ajouter +
update,QRPAY Update,Actualización de QRPAY,تحديث QRPAY,Mise à jour de QRPAY
update Your App Right,Update your app right now for more feature,Actualiza tu aplicación ahora mismo para obtener más funciones,قم بتحديث تطبيقك الآن للحصول على المزيد من الميزات,Mettez à jour votre application dès maintenant pour plus de fonctionnalités
more Offer,More Offer,Más ofertas,عروض أكثر,Plus d'offres
select Receipient,Select Receipient,Seleccionar destinatario,حدد المستلم,Sélectionner le destinataire
receiving Method,Receiving Method,Método de recepción,طريقة الاستلام,Méthode de réception
select Method,Select Method,Seleccionar método,حدد الطريقة,Sélectionner la méthode
sending Amount,Sending Amount,Cantidad a enviar,المبلغ المرسل,Montant à envoyer
u SD1Equal,1 USD = 1 USD,1 USD = 1 USD,1 دولار أمريكي = 1 دولار أمريكي,1 USD = 1 USD
recipient Get,Recipient Get,Recibido por el destinatario,المبلغ الذي يحصل عليه المستلم,Reçu par le destinataire
jhons Grill,Jhons Grill,Jhons Grill,Jhons Grill,Jhons Grill
jhons Grill Gmail,jhonsgrill@gmail.comj,jhonsgrill@gmail.com,jhonsgrill@gmail.com,jhonsgrill@gmail.com
wallet,QRPAY Wallet,Billetera QRPAY,محفظة QRPAY,Portefeuille QRPAY
select Bank,Select Bank,Seleccionar banco,حدد البنك,Sélectionner la banque
cash Pickup,Cash Pickup,Retiro en efectivo,سحب نقدي,Retrait en espèces
select Street,Select Street,Seleccionar calle,حدد الشارع,Sélectionner la rue
sfrancisco,S. Francisco,S. Francisco,سان فرانسيسكو,S. Francisco
money Receive Details,Use QRPAY app for instant money transfer. Scan or Place this QRcode for receiving money in your wallet. Share this QR for instant money receiving.,Utilice la aplicación QRPAY para transferencias de dinero instantáneas. Escanee o coloque este código QR para recibir dinero en su billetera. Comparta este código QR para recibir dinero instantáneo.,استخدم تطبيق QRPAY لنقل الأموال الفوري. قم بمسح أو وضع هذا الرمز الاستجابة السريعة لاستقبال الأموال في محفظتك. شارك هذا الرمز الاستجابة السريعة لاستقبال الأموال فورًا.,Utilisez l'application QRPAY pour des transferts d'argent instantanés. Scannez ou placez ce code QR pour recevoir de l'argent dans votre portefeuille. Partagez ce code QR pour recevoir de l'argent instantanément.
sending Country,Sending Country,País de envío,بلد الإرسال,Pays d'envoi
update Receipient,Update Recipient,Actualizar destinatario,تحديث المستلم,Mettre à jour le destinataire
australia,Australia,Australia,أستراليا,Australie
united State,United State,Estados Unidos,الولايات المتحدة,États-Unis
upload Image,Upload Image,Subir imagen,تحميل صورة,Télécharger une image
bank Deposit,Bank Deposit,Depósito bancario,إيداع بنكي,Dépôt bancaire
virtual Card Details,"This card you can be used to pay contactless in stores or online, but has its own unique card number, expiry date, and CVC.","Esta tarjeta se puede utilizar para pagar de forma contactless en tiendas u en línea, pero tiene su propio número de tarjeta único, fecha de vencimiento y CVC.",يمكن استخدام هذه البطاقة للدفع اللاسلكي في المتاجر أو عبر الإنترنت، ولكنها تحتوي على رقم بطاقة فريد وتاريخ انتهاء ورمز التحقق من البطاقة (CVC) الخاص بها.,"Cette carte peut être utilisée pour payer sans contact en magasin ou en ligne, mais elle possède son propre numéro de carte unique, sa date d'expiration et son CVC."
activation Fee,Activation Fee,Tarifa de activación,رسوم التفعيل,Frais d'activation
view More Info,View More Info,Ver más información,عرض المزيد من المعلومات,Voir plus d'informations
gift Friends,Gift friends with virtual cards,Regala a tus amigos tarjetas virtuales,قدم هدايا لأصدقائك ببطاقات افتراضية,Offrez des cartes virtuelles à vos amis
delivered,Delivered instantly by email,Entregado al instante por correo electrónico,تسليم فوري عبر البريد الإلكتروني,Livrées instantanément par e-mail
redeemable For,Redeemable for online purchases,Canjeable para compras en línea,يمكن استبدالها للمشتريات عبر الإنترنت,Utilisables pour des achats en ligne
after You Buy,"After you buy it, you can show this number.","Después de comprarla, puedes mostrar este número.",بعد شرائها، يمكنك عرض هذا الرقم.,"Après l'avoir achetée, vous pouvez montrer ce numéro."
expiry Date,Expiry Date,Fecha de vencimiento,تاريخ انتهاء الصلاحية,Date d'expiration
cvc,CVC,CVC,CVC,CVC
nine Elevent,09-Nov,9-Nov,09 نوفمبر,9-Nov
nine Six,963,963,963,963
buy Now,Buy Now,Comprar Ahora,اشتر الآن,Acheter Maintenant
agency Fb,9864 1326 7135 3126,9864 1326 7135 3126,9864 1326 7135 3126,9864 1326 7135 3126
fund,Fund,Fondos,تمويل,Fonds
card Load Type,Card Load Type,Tipo de Carga de Tarjeta,نوع تحميل البطاقة,Type de Chargement de Carte
inssuance Fee,Inssuance Fee,Tarifa de Emisión,رسوم الإصدار,Frais d'Émission
select Bill Category,Select Bill Category,Seleccionar Categoría de Factura,اختر فئة الفاتورة,Sélectionner la Catégorie de Facture
enter Bill Number,Enter Bill Number,Ingresar Número de Factura,أدخل رقم الفاتورة,Entrer le Numéro de Facture
bill Type,Bill Type,Tipo de Factura,نوع الفاتورة,Type de Facture
account Number,Account Number,Número de Cuenta,رقم الحساب,Numéro de Compte
enter Account Number,Enter Account Number,Ingresar Número de Cuenta,أدخل رقم الحساب,Entrer le Numéro de Compte
bank Name,Bank Name,Nombre del Banco,اسم البنك,Nom de la Banque
enter Bank Name,Enter Bank Name,Ingresar Nombre del Banco,أدخل اسم البنك,Entrer le Nom de la Banque
pay Bill,Pay Bill,Pagar Factura,دفع الفاتورة,Payer la Facture
payment Success,Payment Success,Pago Exitoso,نجاح الدفع,Paiement Réussi
electicity,Electicity,Electricidad,كهرباء,Électricité
charge,Charge,Carga,شحن,Charge
received Amount,Received Amount,Cantidad Recibida,المبلغ المستلم,Montant Reçu
b N135678951,B/N135678951,N° de Factura: 135678951,B/N135678951,B/N135678951
your Bill Has Been Paid,Your bill has been paid Successfully. Thanks for using QRPAY,Tu factura ha sido pagada con éxito. ¡Gracias por usar QRPAY!,تم دفع فاتورتك بنجاح. شكرًا لاستخدام QRPAY!,Votre facture a été payée avec succès. Merci d'utiliser QRPAY !
load Fee,Load Fee,Tarifa de Carga,رسوم التحميل,Frais de Chargement
min Load,Min Load,Carga Mínima,حد أدنى للتحميل,Chargement Minimum
max Load,Max Load,Carga Máxima,حد أقصى للتحميل,Chargement Maximum
validity,Validity,Validez,صلاحية,Validité
monthly Fees,Monthly Fees,Cuota Mensual,رسوم شهرية,Frais Mensuels
enter Mobile Number,Enter Mobile Number,Ingresar Número de Móvil,أدخل رقم الجوال,Entrez le Numéro de Mobile
mobile Top Up Type,Mobile Top Up Type,Tipo de Recarga Móvil,نوع إعادة شحن الجوال,Type de Recharge Mobile
select Mobile Category,Select Mobile Category,Seleccionar Categoría Móvil,حدد فئة الجوال,Sélectionnez la Catégorie Mobile
a Tt Mobility,AT&T Mobility,AT&T Mobility,AT&T Mobility,AT&T Mobility
plus1611,+1 611 2357 896,+1 611 2357 896,+1 611 2357 896,+1 611 2357 896
top Up Now,Top Up Now,Recargar Ahora,قم بالشحن الآن,Recharger Maintenant
mobile Top Up Success,Mobile Top Up Success,Recarga Móvil Exitosa,نجاح إعادة شحن الجوال,Recharge Mobile Réussie
your Mobile Top Up,Your mobile top up has been Successfull. Thanks for using QRPAY,Tu recarga móvil se ha realizado con éxito. ¡Gracias por usar QRPAY!,تمت إعادة شحن هاتفك المحمول بنجاح. شكرًا لاستخدام QRPAY!,Votre recharge mobile a été effectuée avec succès. Merci d'utiliser QRPAY !
google Play,Google Play,Google Play,Google Play,Google Play
google Play Gift Card,Google Play Gift Card,Tarjeta de Regalo Google Play,بطاقة هدايا Google Play,Carte Cadeau Google Play
category,Category,Categoría,الفئة,Catégorie
five,5,5,5,5
cardsfive,5 Cards,5 Tarjetas,5 بطاقات,5 Cartes
available,Available,Disponible,متوفر,Disponible
cards,/cards,/tarjetas,/بطاقات,/cartes
price Card,Price/card,Precio/tarjeta,السعر/البطاقة,Prix/carte
more Info,More Info,Más Información,مزيد من المعلومات,Plus d'Infos
price,Price,Precio,السعر,Prix
pricebycard,Price/card,Precio/tarjeta,السعر/البطاقة,Prix/carte
card Details,Card Details,Detalles de la Tarjeta,تفاصيل البطاقة,Détails de la Carte
quantity,Quantity,Cantidad,الكمية,Quantité
giftcard Purchase,Giftcard Purchase,Compra de Tarjeta de Regalo,شراء بطاقة هدايا,Achat de Carte-Cadeau
u SDzero,0.00 USD,0.00 USD,0.00 دولار أمريكي,0.00 USD
sub Category,Sub Category,Subcategoría,فئة فرعية,Sous-Catégorie
your Giff Card,Your Giftcard has been purchase Successfully. Thanks for using QRPAY,Tu Tarjeta de Regalo ha sido comprada con éxito. ¡Gracias por usar QRPAY!,تم شراء بطاقتك الهدية بنجاح. شكرًا لاستخدام QRPAY!,Votre carte-cadeau a été achetée avec succès. Merci d'utiliser QRPAY !
profile,Profile,Perfil,ملف التعريف,Profil
my Wallet,My Wallet,Mi Billetera,محفظتي,Mon Portefeuille
my Virtual Cards,My Virtual Cards,Mis Tarjetas Virtuales,بطاقاتي الافتراضية,Mes Cartes Virtuelles
update Profile,Update Profile,Actualizar Perfil,تحديث الملف الشخصي,Mettre à Jour le Profil
update KYCForm,Update KYC Form,Actualizar Formulario KYC,تحديث نموذج KYC,Mettre à Jour le Formulaire KYC
f A2Security,2FA Security,Seguridad 2FA,أمان 2FA,Sécurité 2FA
nine Eight,9864  5689  4623  1475,9864 5689 4623 1475,9864 5689 4623 1475,9864 5689 4623 1475
plus Buy New Card,+ Buy New Card,,,
enter Amount,Enter Amount,Comprar Nueva Tarjeta,شراء بطاقة جديدة,Acheter Nouvelle Carte
add Fund,Add Fund,Ingresar Cantidad,أدخل المبلغ,Entrer le Montant
buy Card,Buy Card,Agregar Fondos,إضافة الأموال,Ajouter des Fonds
add Fund Succes,Add Fund Success,Agregar Fondos Éxito,إضافة الأموال بنجاح,Ajouter des Fonds Réussi
your Money Added Succes,Your money has been deposit Successfully. Thanks for using QRPAY,Tu dinero ha sido depositado con éxito. ¡Gracias por usar QRPAY!,تم إيداع أموالك بنجاح. شكرًا لاستخدام QRPAY!,Votre argent a été déposé avec succès. Merci d'utiliser QRPAY !
upload Passport Nid Dri,Upload Passport / NID / Driving Lic. etc doc for verification,"Subir Pasaporte / NID / Licencia de Conducir, etc. para Verificación",قم بتحميل جواز السفر / بطاقة الهوية الوطنية / رخصة القيادة وما إلى ذلك للتحقق,"Télécharger un Passeport / NID / Permis de Conduire, etc. pour Vérification"
update KYC,Update KYC,Actualizar KYC,تحديث KYC,Mettre à Jour le KYC
enable2FASecurity,Enable 2FA Security,Habilitar Seguridad 2FA,تمكين الأمان 2FA,Activer la Sécurité 2FA
two FADetails,We’ll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security,Pediremos un código de verificación a través de tu método de seguridad si notamos un inicio de sesión desde un dispositivo o navegador no reconocido. Habilita tu Seguridad 2FA,سنطلب رمز التحقق من خلال طريقة الأمان الخاصة بك إذا لاحظنا تسجيل دخول من جهاز أو متصفح غير معترف به. قم بتمكين أمان 2FA الخاص بك,Nous demanderons un code de vérification via votre méthode de sécurité si nous remarquons une connexion à partir d'un appareil ou d'un navigateur non reconnu. Activez votre Sécurité 2FA
send Verification Code,Send Verification Code,Enviar Código de Verificación,إرسال رمز التحقق,Envoyer le Code de Vérification
your Two Security HAs Been Active,Your 2FA Security has been activate Successfully.,Tu Seguridad 2FA ha sido activada con éxito.,تم تفعيل أمان 2FA الخاص بك بنجاح.,Votre Sécurité 2FA a été activée avec succès.
transactions Log,Transactions Log,Registro de Transacciones,سجل المعاملات,Journal des Transactions
transaction Log,Transaction Log,Registro de Transacciones,سجل المعاملات,Journal des Transactions
virtual Card Log,Virtual Card Log,Registro de Tarjeta Virtual,سجل البطاقة الافتراضية,Journal des Cartes Virtuelles
help Center,Help Center,Centro de Ayuda,مركز المساعدة,Centre d'Aide
privacy Policy,Privacy & Policy,Privacidad y Política,الخصوصية والسياسة,Confidentialité et Politique
about Us,About Us,Acerca de Nosotros,من نحن,À Propos de Nous
colnel Arichart,Colnel Arichart,Colnel Arichart,Colnel Arichart,Colnel Arichart
colnel Gmail,Colnelarichart@gmail.com,Colnelarichart@gmail.com,Colnelarichart@gmail.com,Colnelarichart@gmail.com
sign Out,Sign Out,Cerrar Sesión,تسجيل الخروج,Déconnexion
saved Receipients,Saved Receipients,Destinatarios Guardados,المستلمون المحفوظون,Destinataires Enregistrés
giftcard Log,Giftcard Log,Registro de Tarjeta de Regalo,سجل بطاقة الهدية,Journal des Cartes-Cadeaux
bill Payment Log,Bill Payment Log,Registro de Pago de Facturas,سجل دفع الفواتير,Journal des Paiements de Factures
mobile Top Up Log,Mobile Top Up Log,Registro de Recarga de Móvil,سجل شحن الهاتف المحمول,Journal des Recharges Mobiles
redeem Card,Redeem Card,Canjear Tarjeta,دولار أمريكي,Utiliser la Carte
t Mobile US,T-Mobile US,T-Mobile US,استبدال البطاقة,T-Mobile US
verizon,Verizon,Verizon,T-Mobile US,Verizon
education,Education,Educación,فيريزون,Éducation
gass Bill,Gass Bill,Factura de Gas,تعليم,Facture de Gaz
internet,Internet,Internet,فاتورة الغاز,Internet
telephone,Telephone,Teléfono,الإنترنت,Téléphone
tr X9VW3SWKA9Y,TRX-6J9VW3SWKA9Y,TRX-6J9VW3SWKA9Y,الهاتف,TRX-6J9VW3SWKA9Y
trx Net99,TRX-Netflix 99,TRX-Netflix 99,TRX-6J9VW3SWKA9Y,TRX-Netflix 99
agreed,Please agree with term and condition,"Por favor, de acuerdo con el término y la condición",يرجى الاتفاق مع المصطلح والشرط,Veuillez être d'accord avec le terme et l'état
delete Account,Delete Account,Eliminar Cuenta,تغيير اللغة,Supprimer le Compte
old Password,Old Password,Contraseña Antigua,حذف الحساب,Ancien Mot de Passe
enter Old Password,Enter Old Password,Ingrese la Contraseña Antigua,كلمة المرور القديمة,Entrez l'Ancien Mot de Passe
paypal Payment,Paypal Payment,Pago Paypal,أدخل كلمة المرور القديمة,Paiement Paypal
flutterwave Payment,Flutterwave Payment,Pago Flutterwave,الدفع عبر باي بال,Paiement Flutterwave
razor Pay Payment,Razorpay Payment,Pago Razorpay,الدفع عبر فلاتر ويف,Paiement Razorpay
pagadito Payment,Pagadito Payment,Pago Pagadito,الدفع عبر رازورباي,Paiement Pagadito
we Ask For Verification,We’ll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security,Solicitaremos un código de verificación a través de su método de seguridad si notamos un inicio de sesión desde un dispositivo o navegador no reconocido. Active su Seguridad de Doble Factor (2FA),الدفع عبر باغاديتو,Nous demanderons un code de vérification via votre méthode de sécurité si nous détectons une connexion à partir d'un appareil ou d'un navigateur non reconnu. Activez votre Sécurité à Double Facteur (2FA)
credit Card Sample Text,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.'","Contrariamente a la creencia popular, Lorem Ipsum no es simplemente un texto aleatorio. Tiene raíces en una obra de la literatura latina clásica del año 45 a.C., lo que lo convierte en un texto con más de 2000 años de antigüedad.",سنطلب رمز التحقق من خلال طريقة الأمان الخاصة بك إذا لاحظنا تسجيل الدخول من جهاز أو متصفح غير معترف به. قم بتمكين الأمان المزدوج (2FA) الخاص بك,"Contrairement à ce que l'on croit communément, Lorem Ipsum n'est pas simplement un texte aléatoire. Il a des racines dans une œuvre de la littérature latine classique datant de 45 av. J.-C., ce qui en fait un texte de plus de 2000 ans."
card Holder,Card Holder,Titular de la Tarjeta,على عكس الاعتقاد الشائع ، لوريم إيبسوم ليس مجرد نص عشوائي. له جذور في قطعة من الأدب اللاتيني الكلاسيكي منذ عام 45 قبل الميلاد ، مما يجعله يمتلك أكثر من 2000 عام من العمر.,Titulaire de la Carte
valid Thru,VALID THRU,VÁLIDO HASTA,حامل البطاقة,VALIDE JUSQU'AU
pay Now,Card Number,Número de Tarjeta,صالح حتى,Numéro de Carte
reloadable,Reloadable,Recargable,رقم البطاقة,Rechargeable
not Reloadable,Not Reloadable,No Recargable,قابل لإعادة الشحن,Non Rechargeable
account Id,Account Id,ID de Cuenta,غير قابل لإعادة الشحن,Identifiant de Compte
card Pan,Card Pan,PAN de Tarjeta,معرف الحساب,PAN de la Carte
expiration,Expiration,Vencimiento,PAN للبطاقة,Date d'Expiration
city,City,Ciudad,انتهاء الصلاحية,Ville
state,State,Estado,المدينة,État
enter State,Enter State,Ingrese el Estado,الحالة,Entrez l'État
address,Address,Dirección,أدخل الحالة,Adresse
enter Address,Enter Address,Ingrese la Dirección,العنوان,Entrez l'Adresse
zip,Zip Code,Estado,أدخل العنوان,Statut
block,Block,Bloquear,الحالة,Bloquer
unblock,Unblock,Desbloquear,حظر,Débloquer
de Activated,Send Money,Enviar Dinero,فتح الحظر,Envoyer de l'Argent
not Valid User,Not Valid User,Usuario No Válido,إرسال الأموال,Utilisateur Non Valide
pick Up Point,Pick Up Point,Punto de Recogida,مستخدم غير صالح,Point de Collecte
create Card,Create Card,Crear Tarjeta,نقطة الاستلام,Créer une Carte
empty Status,No data found,¡Ops! No hay Datos Aquí.,إنشاء بطاقة,Oups ! Pas de Données Ici.
sign In With Touch Id,Sign in with touch id,Iniciar Sesión con Huella Digital,أوبس! لا توجد بيانات هنا.,Connexion avec l'empreinte digitale
delete Account Sub Title,Do you want to delete your account?,¿Desea eliminar su cuenta?,تسجيل الدخول باستخدام بصمة الإصبع,Voulez-vous supprimer votre compte ?
